iter	Passed	Remaining
0	146	14469
1	156	7690
2	164	5323
3	167	4030
4	171	3258
5	177	2774
6	181	2412
7	185	2134
8	189	1916
9	194	1746
10	198	1602
11	203	1491
12	208	1396
13	217	1335
14	226	1283
15	236	1239
16	245	1197
17	251	1147
18	258	1100
19	262	1050
20	271	1021
21	280	994
22	289	970
23	298	946
24	308	926
25	317	904
26	326	883
27	336	865
28	345	844
29	353	824
30	357	796
31	361	769
32	365	742
33	370	718
34	374	694
35	377	671
36	381	649
37	386	629
38	389	609
39	393	590
40	399	575
41	406	561
42	417	553
43	426	542
44	435	531
45	444	522
46	453	511
47	462	501
48	470	489
49	481	481
50	490	471
51	499	460
52	508	450
53	518	441
54	527	431
55	537	421
56	546	411
57	555	402
58	560	389
59	565	377
60	570	364
61	574	352
62	578	339
63	581	327
64	586	315
65	592	305
66	602	296
67	611	287
68	622	279
69	632	271
70	643	262
71	652	253
72	660	244
73	670	235
74	680	226
75	689	217
76	698	208
77	708	199
78	717	190
79	726	181
80	736	172
81	745	163
82	755	154
83	766	145
84	774	136
85	783	127
86	789	117
87	794	108
88	801	99
89	806	89
90	810	80
91	815	70
92	820	61
93	830	52
94	839	44
95	849	35
96	858	26
97	868	17
98	877	8
99	883	0
